Rotation,Type,Date_Time
*,BB2,2021-03-02 13:07:02.575819
0.3642,Run,2021-03-02 13:07:02.609991
*,EXIT,2021-03-02 13:09:13.948973
-,END,2021-03-02 13:09:28.986929
+,Session start,2021-03-02 13:09:33.860563
*,BB2,2021-03-02 13:09:51.026076
*,BB5,2021-03-02 13:09:52.299011
*,BB2,2021-03-02 13:10:28.002350
12.5875,Run,2021-03-02 13:10:28.027181
*,EXIT,2021-03-02 13:10:37.592439
-,END,2021-03-02 13:10:52.635482
+,Session start,2021-03-02 13:10:54.902041
*,BB2,2021-03-02 13:11:10.209017
*,BB5,2021-03-02 13:11:11.502281
*,BB2,2021-03-02 13:11:50.923095
12.6475,Run,2021-03-02 13:11:50.946652
*,EXIT,2021-03-02 13:12:04.580975
-,END,2021-03-02 13:12:19.627118
+,Session start,2021-03-02 13:12:31.038106
*,BB2,2021-03-02 13:12:58.276529
*,EXIT,2021-03-02 13:19:17.888921
-,END,2021-03-02 13:19:32.925476
+,Session start,2021-03-02 13:19:36.984152
*,EXIT,2021-03-02 13:21:52.703592
